"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877732538274E12,-605.0000721216288,-1.0,
1.68618777325578E12,-605.0000721216288,-1.0,
1.6861877732577324E12,-605.0000721216288,-1.0,
1.686187773259685E12,-605.0000721216288,-1.0,
1.6861877732616377E12,-605.0000721216288,-1.0,
1.6861877732635903E12,-605.0000721216288,-1.0,
1.686187773265543E12,-605.0000721216288,-1.0,
1.6861877732674954E12,-605.0000721216288,-1.0,
1.686187773269448E12,-605.0000721216288,-1.0,
1.6861877732714006E12,-605.0000721216288,-1.0,
1.6861877732733533E12,-605.0000721216288,-1.0,
1.686187773275306E12,-605.0000721216288,-1.0,
1.6861877732772583E12,-605.0000721216288,-1.0,
1.686187773279211E12,-605.0000721216288,-1.0,
1.6861877732811636E12,-605.0000721216288,-1.0,
1.6861877732831162E12,-605.0000721216288,-1.0,
1.6861877732850688E12,-605.0000721216288,-1.0,
1.6861877732870212E12,-605.0000721216288,-1.0,
1.6861877732889739E12,-605.0000721216288,-1.0,
1.6861877732909265E12,-605.0000721216288,-1.0,
1.6861877732928792E12,-605.0000721216288,-1.0,
1.6861877732948318E12,-605.0000721216288,-1.0,
1.6861877732967842E12,-605.0000721216288,-1.0,
1.6861877732987368E12,-605.0000721216288,-1.0,
1.6861877733006895E12,-605.0000721216288,-1.0,
1.686187773302642E12,-605.0000721216288,-1.0,
1.6861877733045947E12,-605.0000721216288,-1.0,
1.686187773306547E12,-605.0000721216288,-1.0,
1.6861877733084998E12,-605.0000721216288,-1.0,
1.6861877733104524E12,-605.0000721216288,-1.0,
1.686187773312405E12,-605.0000721216288,-1.0,
1.6861877733143577E12,-605.0000721216288,-1.0,
1.68618777331631E12,-605.0000721216288,-1.0,
1.6861877733182627E12,-605.0000721216288,-1.0,
1.6861877733202153E12,-605.0000721216288,-1.0,
1.686187773322168E12,-605.0000721216288,-1.0,
1.6861877733241206E12,-605.0000721216288,-1.0,
1.686187773326073E12,-605.0000721216288,-1.0,
1.6861877733280256E12,-605.0000721216288,-1.0,
1.6861877733299783E12,-605.0000721216288,-1.0,
1.686187773331931E12,-605.0000721216288,-1.0,
1.6861877733338835E12,-605.0000721216288,-1.0,
1.686187773335836E12,-605.0000721216288,-1.0,
1.6861877733377886E12,-605.0000721216288,-1.0,
1.6861877733397412E12,-605.0000721216288,-1.0,
1.6861877733416938E12,-605.0000721216288,-1.0,
1.6861877733436465E12,-605.0000721216288,-1.0,
1.6861877733455989E12,-605.0000721216288,-1.0,
1.6861877733475515E12,-605.0000721216288,-1.0,
1.6861877733495042E12,-605.0000721216288,-1.0,
1.6861877733514568E12,-605.0000721216288,-1.0,
1.6861877733534094E12,-605.0000721216288,-1.0,
1.6861877733553618E12,-605.0000721216288,-1.0,
1.6861877733573145E12,-605.0000721216288,-1.0,
1.686187773359267E12,-605.0000721216288,-1.0,
1.6861877733612197E12,-605.0000721216288,-1.0,
1.6861877733631724E12,-605.0000721216288,-1.0,
1.6861877733651248E12,-605.0000721216288,-1.0,
1.6861877733670774E12,-605.0000721216288,-1.0,
1.68618777336903E12,-605.0000721216288,-1.0,
1.6861877733709827E12,-605.0000721216288,-1.0,
1.6861877733729353E12,-605.0000721216288,-1.0,
1.6861877733748877E12,-605.0000721216288,-1.0,
1.6861877733768403E12,-605.0000721216288,-1.0,
1.686187773378793E12,-605.0000721216288,-1.0,
1.6861877733807456E12,-605.0000721216288,-1.0,
1.6861877733826982E12,-605.0000721216288,-1.0,
1.6861877733846506E12,-605.0000721216288,-1.0,
1.6861877733866033E12,-605.0000721216288,-1.0,
1.686187773388556E12,-605.0000721216288,-1.0,
1.6861877733905085E12,-605.0000721216288,-1.0,
1.6861877733924612E12,-605.0000721216288,-1.0,
1.6861877733944136E12,-605.0000721216288,-1.0,
1.6861877733963662E12,-605.0000721216288,-1.0,
1.6861877733983188E12,-605.0000721216288,-1.0,
1.6861877734002715E12,-605.0000721216288,-1.0,
1.686187773402224E12,-605.0000721216288,-1.0,
1.6861877734041765E12,-605.0000721216288,-1.0,
1.6861877734061292E12,-605.0000721216288,-1.0,
1.6861877734080818E12,-605.0000721216288,-1.0,
1.6861877734100344E12,-605.0000721216288,-1.0,
1.686187773411987E12,-605.0000721216288,-1.0,
1.6861877734139395E12,-605.0000721216288,-1.0,
1.686187773415892E12,-605.0000721216288,-1.0,
1.6861877734178447E12,-605.0000721216288,-1.0,
1.6861877734197974E12,-605.0000721216288,-1.0,
1.68618777342175E12,-605.0000721216288,-1.0,
1.6861877734237024E12,-605.0000721216288,-1.0,
1.686187773425655E12,-605.0000721216288,-1.0,
1.6861877734276077E12,-605.0000721216288,-1.0,
1.6861877734295603E12,-605.0000721216288,-1.0,
1.686187773431513E12,-605.0000721216288,-1.0,
1.6861877734334653E12,-605.0000721216288,-1.0,
1.686187773435418E12,-605.0000721216288,-1.0,
1.6861877734373706E12,-605.0000721216288,-1.0,
1.6861877734393232E12,-605.0000721216288,-1.0,
1.686187773441276E12,-605.0000721216288,-1.0,
1.6861877734432283E12,-605.0000721216288,-1.0,
1.686187773445181E12,-605.0000721216288,-1.0,
1.6861877734471335E12,-605.0000721216288,-1.0,
1.6861877734490862E12,-605.0000721216288,-1.0,
1.6861877734510388E12,-605.0000721216288,-1.0,
1.6861877734529912E12,-605.0000721216288,-1.0,
1.6861877734549438E12,-605.0000721216288,-1.0,
1.6861877734568965E12,-605.0000721216288,-1.0,
1.686187773458849E12,-605.0000721216288,-1.0,
1.6861877734608018E12,-605.0000721216288,-1.0,
1.6861877734627542E12,-605.0000721216288,-1.0,
1.6861877734647068E12,-605.0000721216288,-1.0,
